ID	PATTERN	PROFESSIONAL	CONSUMER	PROPENSITY_FACTOR
7862	also known as	globus	Globus pharyngis	2
15711	also known as	pleuritis	Pleurisy	2
8213	also called	innate	Vital heat	2
22547	also known as	white clover	Dutch clover	2
8143	also known as	shower cream	bodywash	2
2036	also known as	Krabbe disease	galactosylceramide lipidosis	2
18997	also called	Orthopathy	Natural Hygiene	2
11863	also called	Oguchi disease	congenital stationary night blindness, Oguchi type 1	2
10873	also called	enteritis necroticans	Clostridial necrotizing enteritis	2
15498	also called	peripheral stem cell support	Peripheral blood stem cell transplantation (PBSCT)	2
10442	also called	Papillorenal syndrome	isolated renal hypoplasia	2
11864	also called	Oguchi disease	Oguchi disease 1	2
12005	also called	inspiratory paroxysmal respiration	Reverse sneezing	2
22038	also called	white muscle disease	Nutritional muscular dystrophy	2
8706	also known as	Stomatitis nicotina	nicotine stomatitis	2
15359	also known as	Tabes dorsalis	syphilitic myelopathy	2
1366	also known as	Triple X syndrome	triplo-X	2
7609	also known as	shipping fever	Bovine Respiratory Disease	2
10449	also known as	Branchio-oto-renal syndrome	branciootorenal syndrome	2
13045	also known as	Ganoderma tsugae	Hemlock varnish shelf	2
10929	also known as	ORegAnno	Open Regulatory Annotation Database	2
27303	also known as	neonatal progeroid syndrome	Wiedemann-Rautenstrauch (WR) syndrome	2
1369	also known as	Triple X syndrome	47,XXX aneuploidy	2
1405	also known as	Compendium of Materia Medica	Pen-tsao Kang-mu	2
26427	also known as	classical pharmacology	phenotypic drug discovery	2
3543	also known as	carnitine transporter deficiency	Systemic primary carnitine deficiency (SPCD)	2
14102	also known as	psychogeriatrics	Geriatric psychiatry	2
28410	also termed	Epulis fissuratum	denture-induced fibrous inflammatory hyperplasia	2
28411	also termed	Epulis fissuratum	denture injury tumor	2
28412	also termed	Epulis fissuratum	denture epulis	2
28413	also termed	Epulis fissuratum	denture induced granuloma	2
28414	also termed	Epulis fissuratum	granuloma fissuratum	2
14383	commonly called	Astragalus bisulcatus	silver-leafed milkvetch	2
3669	commonly known as	Microtomography	Industrial CT Scanning	2
6914	commonly known as	Rhododendron tomentosum	Marsh Labrador tea	2
12337	commonly known as	Veratrum album	false helleborine	2
6915	commonly known as	Rhododendron tomentosum	northern Labrador tea	2
6916	commonly known as	Rhododendron tomentosum	wild rosemary	2
12339	commonly known as	Veratrum album	European white hellebore	2
12340	commonly known as	Veratrum album	white veratrum	2
277	sometimes called	Auxology	auxanology	2
16787	also known as	Gastric dilatation volvulus	bloat	2
10056	also known as	septomarginal trabecula	moderator band	2
14406	also called	Idiopathic interstitial pneumonia	interstitial lung disease	2
11696	also known as	viral titer	Viral load	2
3551	also called	spermatheca	receptaculum seminis	2
15343	also known as	Trigeminal neuralgia	suicide disease	2
6116	also known as	Schlemms canal	canal of Schlemm	2
13450	also known as	Therapeutic hypothermia	protective hypothermia	2
14592	also known as	cold chill	the chills	2
11717	also called	languidness	Fatigue	2
2161	also known as	Lugols iodine	Lugols solution	2
21488	also known as	Benzalkonium chloride	ADBAC	2
30	also known as	base oil	Carrier oil	2
25360	also called	Spinal anaesthesia	spinal analgesia	2
10683	also known as	wasting syndrome	wasting	2
4651	also known as	acetylsalicylic acid	Aspirin	2
23849	also known as	Endodermal sinus tumor	EST	2
14705	also known as	4-methylmethcathinone	Mephedrone	2
6145	also known as	Peracetic acid	PAA	2
7414	also called	subclavian steal phenomenon	subclavian steal syndrome	2
28465	also termed	leukoplasia	Leukoplakia	2
23930	also known as	Glucocorticoids	cortisol	2
22278	also called	Lafora disease	Lafora progressive myoclonic epilepsy	2
14645	also called	methyl chloride	Chloromethane	2
850	also known as	Treacher Collins syndrome	Treacher Collins–Franceschetti syndrome	2
5953	also called	Warburg syndrome	Walker–Warburg syndrome	2
10414	also called	needle driver	needle holder	2
13897	also called	cordocentesis	Percutaneous umbilical cord blood sampling	2
28407	also termed	Fordyce granules	Fordyce spots	2
5607	also known as	erythema migrans	Geographic tongue	2
1482	also known as	Neuromyelitis optica	Devics disease	2
497	also known as	leukocytopenia	Leukopenia	2
2039	also called	Cockayne syndrome	Weber-Cockayne syndrome	2
2040	also called	Cockayne syndrome	Neill-Dingwall syndrome	2
18814	also known as	Saint Hildegard	O.S.B.	2
18815	also known as	Sibyl of the Rhine	O.S.B.	2
2429	also called	Couvade syndrome	sympathetic pregnancy	2
2507	also called	Cluttering	tachyphemia	2
6167	also called	Argininosuccinic aciduria	argininosuccinic acidemia	2
2202	also called	Andersen syndrome	Andersen–Tawil syndrome	2
2886	also called	Isovaleric acidemia	isovaleric acid CoA dehydrogenase deficiency	2
17354	also called	throwers shoulder	Shoulder impingement syndrome	2
7594	also known as	Anthoxanthum nitens	sweet grass	2
7963	also known as	2,3-BPG	2,3-diphosphoglycerate	2
2953	also known as	Anadenanthera colubrina	Vilca	2
4248	also known as	Persistent truncus arteriosus	Common arterial trunk	2
7107	also known as	Psychodynamics	dynamic psychology	2
8241	also known as	Ivemark syndrome	Right Atrial Isomerism	2
11165	also known as	Rabbit haemorrhagic disease	rabbit calicivirus disease	2
12631	also known as	3C syndrome	CCC dysplasia	2
13183	also known as	Ligustrum ovalifolium	Oval-leaved privet	2
26263	also known as	Diepoxybutane	butane diepoxide	2
5969	also known as	Goldenhar syndrome	Oculo-Auriculo-Vertebral (OAV) syndrome	2
16723	also known as	fragment-based drug discovery	Fragment-based lead discovery	2
2935	also known as	stenopeic glasses	Pinhole glasses	2
5079	also known as	leontiasis	Leontiasis Ossea	2
13787	also known as	voice output communication aids	Speech-generating devices	2
17707	also known as	Fairbanks disease	Trevor disease	2
23697	also known as	stress CMR perfusion	Cardiac MRI Perfusion	2
5080	also known as	Leontiasis Ossea	lion face	2
12045	also known as	Erigenia bulbosa	pepper and salt	2
2954	also known as	Anadenanthera colubrina	Huilco	2
2955	also known as	Anadenanthera colubrina	Huilca	2
2956	also known as	Anadenanthera colubrina	Wilco	2
2957	also known as	Anadenanthera colubrina	Willka	2
2958	also known as	Anadenanthera colubrina	Cebil	2
8952	also known as	Animal testing	in vivo testing	2
9687	also known as	congestive hepatopathy	chronic passive congestion of the liver	2
12632	also known as	3C syndrome	Craniocerebellocardiac dysplasia	2
12633	also known as	3C syndrome	Ritscher–Schinzel syndrome	2
14747	also known as	NK2 homeobox 1	NKX2-1	2
24547	also known as	Chalk River Laboratories	Chalk River Labs	2
26265	also known as	Diepoxybutane	1,2:3,4-diepoxybutane	2
1682	also known as	erythroblastosis fetalis	Hemolytic disease of the newborn	2
3134	also known as	pastern dermatitis	Mud fever	2
3368	also known as	golden apple	Bael	2
5220	colloquially referred to as	Coal workers pneumoconiosis	black lung disease	2
27560	commonly called	Prunus virginiana	bitter-berry	2
27562	commonly called	Prunus virginiana	Virginia bird cherry	2
27563	commonly called	Prunus virginiana	western chokecherry	2
113	commonly called	Peganum harmala	wild rue	2
11597	commonly known as	Hebeloma crustuliniforme	poison pie	2
13623	commonly known as	Milicia excelsa	African Teak	2
21237	previously known as	Bechterews disease	Ankylosing spondylitis	2
4762	also known as	chronic progressive myelopathy	Tropical spastic paraparesis	2
27561	commonly called	Prunus virginiana	chokecherry	2
5158	sometimes known as	Adie syndrome	Adies Tonic Pupil	2
28403	also termed	Xerostomia	dry mouth syndrome	2
11695	also known as	viral burden	Viral load	2
10188	also known as	amyotrophic lateral sclerosis	motor neurone disease	2
18802	also known as	Hypoxia	hypoxiation	2
16876	also known as	Cystometry	flow cystometry	2
24526	commonly called	overutilization	Unnecessary health care	2
15713	commonly known as	Ichthyophthirius multifiliis	freshwater white spot disease	2
15715	commonly known as	Ichthyophthirius multifiliis	freshwater ick	2
6933	commonly referred to as	CIAP	Clinical Information Access Program	2
848	also known as	Periarteritis nodosa	Polyarteritis nodosa	2
22249	also known as	rapamycin	Sirolimus	2
25517	commonly referred to as	GST	Grace Somatomorphic Technique	2
13649	also known as	internal radiotherapy	Brachytherapy	2
9026	also known as	CD55	Complement decay-accelerating factor	2
28044	also called	neonatal respiratory distress syndrome	Infant respiratory distress syndrome	2
9652	also known as	pyrosis	Heartburn	2
18081	also called	Activated carbon	carbo activatus	2
15227	commonly known as	Nepeta cataria	catmint	2
24563	also known as	Fabry disease	angiokeratoma corporis diffusum	2
14646	also called	R-40	Chloromethane	2
14355	also known as	sinus histiocytosis with massive lymphadenopathy	Rosai–Dorfman disease	2
18079	also called	Activated carbon	activated charcoal	2
14342	commonly called	Ziziphus jujuba	jujube	2
13400	also known as	Prostate-specific antigen	gamma-seminoprotein	2
2280	also called	Acute stress reaction	mental shock	2
7067	also called	cricothyrotomy	cricothyroidotomy	2
1424	also known as	Gender identity disorder	gender dysphoria	2
14314	commonly known as	Grains of Paradise	spice	2
14315	commonly known as	Melegueta pepper	spice	2
2468	commonly known as	Sydney Adventist Hospital	the San	2
3297	also called	confirmatory bias	Confirmation bias	2
14323	also known as	saturnism	Lead poisoning	2
24601	also called	internal hemorrhage	Internal bleeding	2
3633	also known as	Batten disease	Spielmeyer-Vogt-Sjögren-Batten disease	2
91	also known as	ringworm of the foot	Athletes foot	2
5918	also known as	laya yoga	Kundalini yoga	2
17983	also known as	special care dentistry	Special needs dentistry	2
93	also known as	moccasin foot	Athletes foot	2
21507	commonly known as	Celastrus	staff vine	2
21508	commonly known as	Celastrus	staff tree	2
26082	also known as	palliative sedation	sedation for intractable distress in the dying	2
12590	also called	transection	Traumatic aortic rupture	2
4151	also known as	icterus	Jaundice	2
25640	also called	autoimmune polyendocrine syndromes	polyglandular autoimmune syndrome	2
7746	sometimes referred to as	hypochondria	health phobia	2
4380	also known as	Sandhoff disease	Sandhoff-Jatzkewitz disease	2
4381	also known as	Sandhoff disease	variant 0 of GM2-Gangliosidosis	2
4382	also known as	Sandhoff disease	Hexosaminidase A and B deficiency	2
2100	also called	Swine influenza	pig influenza	2
2512	also known as	medics	Combat medics	2
7218	also known as	autologous blood transfusion	Intraoperative blood salvage	2
6317	also called	subarachnoid anesthesia	spinal anesthesia	2
25424	also known as	reverse epidemiology	chronic disease states	2
8963	also known as	emergency department	ED	2
3710	also known as	circulatory arrest	Cardiac arrest	2
4400	also known as	patellar tendinopathy	jumpers knee	2
28076	also known as	HSP	purpura rheumatica	2
28077	also known as	HSP	Schönlein–Henoch purpura	2
9027	also known as	DAF	Complement decay-accelerating factor	2
2981	also called	peak expiratory flow	PEF	2
8560	also known as	Bipolar disorder	manic depression	2
1420	also referred to as	erythrocyte	red blood cells	2
18737	also called	Grape seed oil	grapeseed oil	2
20262	also called	BK channels	slo1	2
12244	also known as	CDI	Combined drug intoxication	2
25401	also known as	Weils syndrome	Leptospirosis	2
7364	also known as	Acute radiation syndrome	radiation sickness	2
9431	also called	periodontal plastic surgery	gingival graft	2
5977	commonly known as	Holodiscus discolor	ocean spray	2
9764	also known as	Axenfeld-Rieger syndrome	Axenfeld syndrome	2
11283	also known as	Singapore Ear	Otomycosis	2
3192	commonly known as	Passiflora incarnata	maypop	2
201	also known as	uncompensated care	charity care	2
1452	also called	Conjunctivitis	pink eye	2
20279	also known as	4-androstenedione	Androstenedione	2
5608	also known as	erythema migrans lingualis	Geographic tongue	2
5609	also known as	glossitis areata exfoliativa	Geographic tongue	2
5610	also known as	glossitis areata migrans	Geographic tongue	2
5611	also known as	lingua geographica	Geographic tongue	2
5612	also known as	stomatitis areata migrans	Geographic tongue	2
5613	also known as	wandering rash of the tongue	Geographic tongue	2
5614	also known as	transitory benign plaques of the tongue	Geographic tongue	2
1570	also known as	Lupus anticoagulant	lupus antibody	2
24805	also called	Situs inversus	oppositus	2
8962	also known as	emergency department	accident & emergency	2
907	also known as	psychiatric wards	Psychiatric hospitals	2
27406	sometimes called	Braco	the gazer	2
1675	also known as	DSM-IV-TR	Diagnostic and Statistical Manual of Mental Disorders, 4th Edition, Text Revision	2
5322	also known as	multiple system atrophy	Shy-Drager syndrome	2
24241	also referred to as	family systems therapy	Family therapy	2
21684	also known as	Colostrinin	proline-rich polypeptides	2
24557	also known as	Congenital insensitivity to pain	congenital analgesia	2
10242	also known as	Salvage therapy	rescue therapy	2
18750	colloquially called	Halitosis	bad breath	2
7731	also known as	epilation	Hair removal	2
20871	also known as	Inhalation	inspiration	2
5365	also called	Dyskeratosis congenita	Zinsser-Cole-Engman syndrome	2
5313	also known as	dorsal midbrain syndrome	Parinauds Syndrome	2
8689	also known as	h/h	Oh	2
28426	also termed	BMS	burning mouth	2
20261	also called	BK channels	Maxi-K	2
14111	sometimes known as	Cardiovascular magnetic resonance imaging	cardiac MRI	2
21615	also called	Chronic diarrhea of infancy	toddlers diarrhea	2
6937	also called	Adenylosuccinate lyase deficiency	adenylosuccinase deficiency	2
14472	also called	Mass psychogenic illness	mass sociogenic illness	2
15698	also called	Beta-mannosidosis	lysosomal beta-mannosidase deficiency	2
23217	also called	Dor Yeshorim	Committee for Prevention of Genetic Diseases	2
11961	also called	Epidermodysplasia verruciformis	Lewandowsky-Lutz dysplasia	2
1126	also called	Megacystis-microcolon-intestinal hypoperistalsis syndrome	Berdon syndrome	2
5338	also called	endocarditis lenta	Subacute bacterial endocarditis	2
6564	also called	tetrasomy X	XXXX syndrome	2
6568	also called	pentasomy X	XXXXX syndrome	2
21923	also called	swim bladder disorder	Swim bladder disease	2
24484	also called	idiopathic condylar resorption	Condylar resorption	2
5169	also called	Vasaka	adalodakam	2
6556	also called	Adenine phosphoribosyltransferase deficiency	2,8 dihydroxyadenine urolithiasis	2
8643	also called	bromine chloride	Bromine monochloride	2
21924	also called	flipover	Swim bladder disease	2
6782	also known as	Osteopathic manipulative medicine (OMM)	osteopathic manipulative treatment (OMT)	2
20337	also known as	motorized shopping cart	electric shopping cart	2
52	also known as	Psilocin	4-HO-DMT	2
4428	also known as	Kostmann syndrome	severe congenital neutropenia, autosomal recessive type 3	2
5666	also known as	Mithridate	mithridatium	2
5960	also known as	Ferroportin-1	solute carrier family 40 member 1	2
7202	also known as	Triple-A syndrome	Achalasia-Addisonianism-Alacrimia syndrome	2
7820	also known as	Ouchterlony double immunodiffusion	agar gel immunodiffusion	2
7998	also known as	Weight stigma	weightism	2
8056	also known as	Artemisia californica	California sagebrush	2
12459	also known as	Emilia sonchifolia	lilac tasselflower	2
15284	also known as	Rhododendron arboreum	burans	2
15906	also known as	Ministry of Health of Chile	MINSAL	2
16978	also known as	Foster Kennedy syndrome	Gowers-Paton-Kennedy syndrome	2
19920	also known as	Kennedy Institute of Ethics	Joseph and Rose Kennedy Institute of Ethics	2
20397	also known as	R-spondin 2	roof plate-specific spondin-2	2
23343	also known as	Topographical Disorientation	Topographical agnosia	2
23632	also known as	Cocooning	the Cocoon Strategy	2
25689	also known as	Ataque de nervios	Puerto Rican syndrome	2
26921	also known as	Rifalazil	KRM-1648	2
27256	also known as	TAS-108	SR16234	2
3313	also known as	fibrosity	Spinnbarkeit	2
8751	also known as	slipped wing	Angel wing	2
8769	also known as	beat knee	Prepatellar bursitis	2
9623	also known as	megalopia	Macropsia	2
11676	also known as	turricephaly	Oxycephaly	2
14733	also known as	Good Tissue Practice	Current Good Tissue Practice	2
14995	also known as	Dong Po	Su Shi	2
17575	also known as	hereditary progressive dystonia with diurnal fluctuation	Dopamine-responsive dystonia	2
21963	also known as	northern Indian parsnip	carrot family	2
26011	also known as	Blomstrands lethal chondrodysplasia	Chondrodysplasia Blomstrand	2
27589	also known as	bioanthropology	Biological anthropology	2
354	also known as	Hereditary multiple exostoses	MHE	2
53	also known as	Psilocin	psilocine	2
54	also known as	Psilocin	psilocyn	2
55	also known as	Psilocin	psilotsin	2
4337	also known as	Ageratina altissima	richweed	2
4338	also known as	Ageratina altissima	white sanicle	2
4339	also known as	Ageratina altissima	tall boneset	2
5667	also known as	Mithridate	mithridatum	2
5668	also known as	Mithridate	mithridaticum	2
7349	also known as	General paresis	paralytic dementia	2
7821	also known as	Ouchterlony double immunodiffusion	passive double immunodiffusion	2
12460	also known as	Emilia sonchifolia	cupids shaving brush	2
15285	also known as	Rhododendron arboreum	gurans	2
16979	also known as	Foster Kennedy syndrome	Kennedys phenomenon	2
23344	also known as	Topographical Disorientation	Topographagnosia	2
24794	also known as	Anadenanthera peregrina	Jopo	2
24795	also known as	Anadenanthera peregrina	Cohoba	2
24798	also known as	Anadenanthera peregrina	Jungle Juice	2
26922	also known as	Rifalazil	AMI-1648	2
827	also known as	creative arts therapy	Expressive therapy	2
3544	also known as	systemic carnitine deficiency	Systemic primary carnitine deficiency (SPCD)	2
8707	also known as	nicotinic stomatitis	Stomatitis nicotina	2
8752	also known as	crooked wing	Angel wing	2
8753	also known as	drooped wing	Angel wing	2
8770	also known as	carpet layers knee	Prepatellar bursitis	2
8771	also known as	coal miners knee	Prepatellar bursitis	2
8773	also known as	rug cutters knee	Prepatellar bursitis	2
8774	also known as	nuns knee	Prepatellar bursitis	2
9316	also known as	experimental gerontology	Life extension science	2
2537	commonly known as	Mercurialis perennis	dogs mercury	2
6845	commonly known as	Toxicodendron pubescens	Atlantic poison oak	2
16690	commonly known as	Barodontalgia	tooth squeeze	2
20461	commonly known as	Psilocybe argentipes	Hikageshibiretake	2
26300	commonly known as	Jatropha gossypiifolia	bellyache bush	2
18018	sometimes called	Iminoglycinuria	familial iminoglycinuria	2
28404	sometimes termed	feather-picking	Feather-plucking	2
8127	also called	greater vestibular glands	Bartholins glands	2
19196	also called	tetanic contraction	tetanized state	2
20302	also called	PEMF	Pulsed electromagnetic field therapy (PEMFT)	2
611	also referred to as	Orthokeratology	Ortho-K	2
13988	commonly known as	NF	flesh-eating disease	2
15690	also known as	arteriovenous nicking	arteriovenous nipping	2
808	also known as	dental ceramic	Dental porcelain	2
19229	also called	undulant fever	Brucellosis	2
21514	also known as	Familial Mediterranean fever	Armenian disease	2
8639	also known as	XK	Kell blood group precursor	2
12850	also called	controlled ovarian hyperstimulation	Ovarian hyperstimulation	2
27327	also known as	Hereditary hemorrhagic telangiectasia	Osler–Weber–Rendu disease	2
27340	also known as	Resistin	adipose tissue-specific secretory factor	2
27328	also known as	Hereditary hemorrhagic telangiectasia	Osler–Weber–Rendu syndrome	2
8599	also called	Cycling	biking	2
21487	also known as	Benzalkonium chloride	alkyldimethylbenzylammonium chloride	2
23259	also known as	CMV colitis	Cytomegalovirus colitis	2
4892	commonly called	Arctium lappa	edible burdock	2
3743	also known as	Crohns disease	regional enteritis	2
28046	also called	Infant respiratory distress syndrome	IRDS	2
2455	also known as	trigger sites	Trigger points	2
26068	also called	Demodicosis	demodectic mange	2
12088	also called	Fibrin	Factor Ia	2
14665	previously called	erythrovirus	parvovirus B19	2
13425	also called	co-occurring disorders	Dual diagnosis	2
14215	also known as	Focal Adhesion Kinase	PTK2 protein tyrosine kinase 2	2
18616	also called	Morgellons syndrome	Morgellons	2
25855	sometimes referred to as	Tao Yin	Yoga	2
26136	also called	intrapleural pressure	intrathoracic pressure	2
3073	also called	Cooling down	warming down	2
22629	also known as	UMM	Muhammadiyah University of Magelang	2
26371	also called	anal discharge	Rectal discharge	2
9100	also known as	meteorism	Tympanites	2
24748	also known as	Salivary transcriptome	saliva	2
1158	also called	Shivering	shuddering	2
1584	also called	malar rash	butterfly rash	2
7073	also called	thyroidotomy	Thyrotomy	2
8981	also called	anal incontinence	Fecal incontinence	2
10185	also called	gas trapping	Air trapping	2
28443	also termed	gingival hyperplasia	Gingival enlargement	2
27346	also known as	Dupuytrens disease	Dupuytrens contracture	2
8099	also known as	advance directive	advance health care directive	2
15553	also known as	GW501516	GW1516	2
21462	also known as	Cardiac dysrhythmia	arrhythmia	2
1844	also known as	syngamy	Fertilisation	2
253	also called	spatial neglect	Hemispatial neglect	2
11423	also referred to as	domiciliary care	Home care	2
14966	also called	androgen ablation	Androgen suppression	2
7467	also known as	John Sublime	Sublime	2
14817	also known as	water allergy and water urticaria	Aquagenic urticaria	2
14216	also known as	PTK2	PTK2 protein tyrosine kinase 2	2
9896	also known as	centchroman	Ormeloxifene	2
8929	also called	plasma total protein	Serum total protein	2
28245	also known as	Sheehan syndrome	postpartum hypopituitarism	2
28361	also known as	Stuttering	stammering	2
16412	also known as	Itsenko-Cushing disease	Cushings disease	2
16225	also known as	Acute adrenal insufficiency	Adrenal crisis	2
1314	also known as	bioidentical hormone therapy	Bioidentical hormone replacement therapy	2
8249	also known as	Texidors Twinge	Precordial Catch Syndrome	2
6132	also known as	consultation-liaison psychiatry	Liaison psychiatry	2
20911	also known as	chemosensor	chemoreceptor	2
1318	also known as	Pharmacovigilance	Drug Safety	2
17866	also known as	Surgical margin	tumor free margin	2
140	also known as	belching	Burping	2
11371	also known as	Arginine vasopressin	vasopressin	2
15209	sometimes known as	Deworming	drenching	2
11157	also called	OPIDN	Organophosphate-induced delayed neuropathy	2
9384	also known as	NOMID	chronic infantile neurologic cutaneous and articular syndrome	2
12129	also known as	Lao coriander	Dill	2
11888	also known as	Neprilysin	membrane metallo-endopeptidase	2
4686	also known as	Antipsychotics	major tranquilizers	2
785	also known as	Mesalazine	BAN	2
2354	also known as	Adrenoleukodystrophy	AMN	2
2815	also called	Canavan disease	Canavan-Van Bogaert-Bertrand disease	2
2817	also called	Canavan disease	aminoacylase 2 deficiency	2
2200	sometimes referred to as	Fibrodysplasia ossificans progressiva	Stone Man Syndrome	2
744	also known as	ischuria	Urinary retention	2
8669	also known as	paired pulse facilitation	Neural facilitation	2
27152	also known as	IgA nephritis	IgA  nephropathy	2
23484	also known as	chemoinformatics	Cheminformatics	2
9701	also referred to as	Fatty liver hemorrhagic syndrome	fatty liver syndrome	2
3686	also called	MLD	Arylsulfatase A deficiency	2
14746	also known as	thyroid transcription factor 1	NK2 homeobox 1	2
7983	also known as	androgenetic alopecia	Androgenic alopecia	2
1207	also known as	POEMS syndrome	Crow–Fukase syndrome, Takatsuki disease	2
1208	also known as	POEMS syndrome	PEP syndrome	2
1445	also called	Papanicolaou test	cervical smear	2
19856	also known as	paradoxical diarrhea	Encopresis	2
12729	also known as	Rowan University School of Osteopathic Medicine	SOM	2
7999	also known as	weight bias	Weight stigma	2
25362	also called	Spinal anaesthesia	sub-arachnoid block	2
10669	commonly known as	Atropa bella-donna	Belladonna	2
16953	also referred to as	Electrical brain stimulation	EBS	2
7265	also known as	clove oil	Oil of cloves	2
14740	also known as	mIBG	Iobenguane	2
5521	also known as	citrus seed extract	Grapefruit seed extract	2
2656	previously known as	Periodic limb movement disorder	nocturnal myoclonus	2
11855	also known as	ovine lentivirus	Visna virus	2
4820	also known as	ambulatory surgery	Outpatient surgery	2
5580	also called	node	Sister Mary Joseph sign	2
15451	also called	genetic modification	Genetic engineering	2
9650	also known as	Pharmacists	druggists	2
8505	also known as	Rubella	German measles	2
6743	also known as	MT	Medical transcription	2
1091	also known as	xenobiotic metabolism	Drug metabolism	2
13650	also known as	Brachytherapy	sealed source radiotherapy	2
13652	also known as	Brachytherapy	endocurietherapy	2
193	also known as	fatty liver disease	Fatty liver	2
20505	commonly referred to as	Pharmaceutical Management Agency	Pharmac	2
20649	also known as	liquefaction degeneration	VAC	2
2882	also called	fabric conditioner	Fabric softener	2
23337	also called	Placental expulsion	afterbirth	2
8746	also called	milk-alkali syndrome	Burnetts syndrome	2
21685	also known as	Colostrinin	PRP	2
7466	also known as	chemosurgery	Mohs surgery	2
14591	also known as	chills	cold chill	2
15754	commonly called	nighttime urinary incontinence	bedwetting	2
20868	also known as	Proteus syndrome	Wiedemann syndrome	2
13561	also known as	drotaverin	INN	2
18430	also known as	Dhobie itch	Tinea cruris	2
26378	also known as	radiation oncology	radiology	2
11003	also known as	sustained-release	Time release technology	2
19197	also called	tetanic contraction	tetanus	2
13402	also known as	Prostate-specific antigen	PSA	2
14302	sometimes referred to as	Flavan-3-ols	flavanols	2
14442	also known as	omal	2,4,6-Trichlorophenol	2
19553	also known as	Edwards syndrome	Trisomy 18	2
28286	also called	Progressive spectacle lenses	multifocal lenses	2
28056	also called	dry eye syndrome	Keratoconjunctivitis sicca (KCS)	2
1483	also known as	Neuromyelitis optica	Devics syndrome	2
16378	also called	orangeroot	Goldenseal	2
16380	also called	yellow puccoon	Goldenseal	2
16167	also known as	ulnar claw	claw hand	2
1825	also known as	pyramidal insufficiency	upper motor neuron lesion	2
14390	also known as	supinator reflex	brachioradialis reflex	2
8098	also known as	advance health care directive	personal directive	2
6669	also called	Short-chain acyl-coenzyme A dehydrogenase deficiency	ACADS deficiency	2
8288	also called	Megaspores	macrospores	2
11156	also called	Organophosphate-induced delayed neuropathy	organophosphate-induced delayed polyneuropathy	2
11222	also called	Dental tourism	dental vacations	2
13207	also called	Vici syndrome	immunodeficiency with cleft lip/palate, cataract, hypopigmentation and absent corpus callosum	2
13514	also called	Shones syndrome	Shones Complex	2
18973	also called	Gillespie syndrome	aniridia, cerebellar ataxia and mental deficiency	2
19724	also called	Congenital stromal corneal dystrophy	Witschel dystrophy	2
22664	also called	Flashblood	flushblood	2
26137	also called	Ephedra monosperma	Ephedra minima	2
27748	also called	Double-lumen endotracheal tube	Double-lumen endobronchial tube	2
327	also called	Aviation medicine	flight medicine	2
19272	also called	Sham surgery	placebo surgery	2
12665	also called	cancer antigen 19-9	carbohydrate antigen 19-9	2
2871	also called	trim trail	assault course	2
3328	also called	mass miniature radiography	abreugraphy	2
3953	also called	laparocentesis	peritoneocentesis	2
4021	also called	reverse swallow	Tongue thrust	2
5011	also called	purification ceremony	sweat house	2
7530	also called	Prajapati	Brahma Rishis	2
9962	also called	trichorhinophalangeal syndrome type II	Langer-Giedion Syndrome	2
19210	also called	Sabinas syndrome	Sabinas brittle hair syndrome	2
21411	also called	BDET	BDTH2	2
28054	also called	keratitis sicca	Keratoconjunctivitis sicca (KCS)	2
7420	also called	Coleys toxins	Coleys vaccine	2
7421	also called	Coleys toxins	Coley vaccine	2
7422	also called	Coleys toxins	mixed bacterial vaccine	2
13515	also called	Shones syndrome	Shones Anomaly	2
13516	also called	Shones syndrome	Shones Syndrome	2
17546	also called	Gerodermia osteodysplastica	Walt Disney dwarfism	2
18974	also called	Gillespie syndrome	Gillespies syndrome II	2
26138	also called	Ephedra monosperma	Dan zi ma huang	2
28045	also called	Infant respiratory distress syndrome	respiratory distress syndrome of newborn	2
28305	also called	MASA syndrome	Gareis-Mason syndrome	2
24140	also called	Holistic dentistry	biocompatible dentistry	2
4022	also called	immature swallow	Tongue thrust	2
5012	also called	ceremonial sauna	sweat house	2
10874	also called	pigbel	Clostridial necrotizing enteritis	2
19508	also called	Senior Consultant	Chief Physician	2
20301	also called	pulse magnetotherapy	Pulsed electromagnetic field therapy (PEMFT)	2
24486	also called	condylysis	Condylar resorption	2
3246	also known as	Aethusa cynapium	fools cicely	2
3682	also known as	Dancing mania	dancing plague	2
5938	also known as	Lemierres disease	postanginal shock including sepsis	2
6540	also known as	Armenian bole	bolus armenus	2
6628	also known as	Craniomandibular osteopathy	lions jaw	2
7104	also known as	Euryale ferox	fox nut	2
8720	also known as	Jacopo Berengario da Carpi	Jacobus Berengarius Carpensis	2
9383	also known as	Higher-order thinking	higher order thinking skills (HOTS)	2
10032	also known as	Tricholoma flavovirens	Man on horseback	2
10641	also known as	Metaphyseal dysplasia	Pyles disease	2
11517	also known as	Follicular unit extraction	follicular transfer	2
12016	also known as	TORCH complex	STORCH	2
12490	also known as	Acrodysostosis	Arkless-Graham syndrome	2
15179	also known as	Amanita smithiana	Smiths amanita	2
20253	also known as	Platycladus orientalis	Chinese arborvitae	2
23848	also known as	Endodermal sinus tumor	yolk sac tumor	2
25413	also known as	Molluscicides	snail baits	2
27034	also known as	Oculomotor apraxia	Cogan’s Ocular Motor Apraxia	2
1778	also known as	Corneal transplantation	corneal grafting	2
2074	also known as	Scotopic sensitivity syndrome	Visual Stress	2
5077	also known as	abdominojugular test	hepatojugular reflux	2
